countries,GDP,GDP per capita(in $),Real GDP Growth (in%),Government Expenditure(% of GDP),Import($) ,Export($),Tax total rate(%),Unemployment rate(%),Minimum Wage($/month),Population
Croatia,60415553039,42870,0.027,0.45686,3200000000,1900000000,0.21,0.07,787.4,4067500
Cuba,1.00023E+11,7421,0.018,0.498,8431000000,1966000000,0.35,0.02,0,11333483
Cyprus,24564647935,59930,0.022,0.39859,857291000,3109886000,0.22,0.07,959.19,1198575
Czech Republic,2.46489E+11,49030,0.002,0.44842,2.28E+11,18200000000,0.46,0.02,759.95,10669709
Democratic Republic of the Congo,47319624204,1510,0.067,0.18757,235150000,236200000,0.51,0.04,92.47,86790567
Denmark,3.48078E+11,74960,0.017,0.49189,20310000000,1.365E+11,0.24,0.05,0,5818553
Djibouti,3318716359,6990,0.05,0.19686,191400000,47600000,0.38,0.10,2400,973560
Dominica,596033333,14350,0.046,0.50466,69900000,72100000,0.33,0.06,577.78,71808
Dominican Republic,88941298258,25520,0.03,0.18791,2401000000,1041000000,0.49,0.06,577,10738958
Ecuador,1.07436E+11,13290,0.014,0.36049,2600000000,31100000000,0.34,0.04,450,17373662
Egypt,3.03175E+11,17120,0.042,0.24701,6508000000,3476000000,0.44,0.11,113.26,100388073
El Salvador,27022640000,11720,0.022,0.28996,1630000000,7470000000,0.36,0.04,241.905,6453553
Equatorial Guinea,11026774945,18360,-0.062,0.12309,536900000,3331700000,0.79,0.06,213.67,1355986
Eritrea,2065001626,715.1,0.026,0.37948,432845000,661876000,0.84,0.05,24,6333135
Estonia,31386949981,45240,-0.023,0.40186,1700000000,1400000000,0.48,0.05,890.77,1331824
Eswatini,3791304348,11860,0.031,0.30967,2122000000,2068468810,0.15,0.22,27.813,1093238
Ethiopia,96107662398,3720,0.061,0.12696,3909700000,990000000,0.38,0.02,22,112078730
Fiji,5535548972,16560,0.075,0.34127,651853000,248392000,0.32,0.04,55,889953
Finland,2.68761E+11,59870,-0.001,0.5405,6319468400,6174399000,0.37,0.07,0,5520314
France,2.71552E+12,58770,0.01,0.58468,60128596000,52394952000,0.61,0.08,1923.61,67059887
Gabon,16657960228,19170,0.028,0.15604,590000000,2615474500,0.47,0.20,229.49,2172579
The Gambia,1763819048,2840,0.056,0.21649,76077278,672318,0.48,0.09,720,2347706
Georgia,17743195770,22360,0.062,0.29469,1032000000,339000000,0.10,0.14,7.77,3720382
Germany,3.84563E+12,66040,-0.005,0.49704,115862980,1.45921E+11,0.49,0.03,2036.919,83132799
Ghana,66983634224,6910,0.012,0.25557,1298000000,1543000000,0.55,0.04,52.8,30792608
Greece,2.09853E+11,39860,0.025,0.55529,7030810900,4302508900,0.52,0.17,877.45,10716322
Grenada,1228170370,20200,0.039,0.32823,84000000,23000000,0.48,0.07,441.6,112003
Guatemala,76710385880,10600,0.034,0.1457,2713000000,1064000000,0.35,0.02,392.24,16604026
Guinea,13590281809,3240,0.059,0.1383,1193000000,1172000000,0.69,0.04,64.068,12771246
Guinea-Bissau,1340389411,3009,0.045,0.21545,317384,27141,0.46,0.02,101.12,1920922
Guyana,4280443645,61100,0.384,0.20561,2741000000,3065000000,0.31,0.12,0.704,782766
Haiti,8498981821,3190,-0.015,0.10165,194000000,82220000,0.43,0.14,4.07,11263077
pakistan,3.76533E+11,1474,0.002,0.19865,4034000000,27900000000,0.35,0.09,107.28,241490000
Honduras,25095395475,7160,0.029,0.24448,1472000000,391000000,0.39,0.05,329.86,9746117
Hungary,1.60967E+11,43600,-0.003,0.49977,11720174000,12452598000,0.38,0.03,793.89,9769949
Iceland,24188035739,69830,0.033,0.46092,715085074,568799825,0.32,0.03,12.72,361313
India,2.611E+12,9180,0.063,0.28795,54410000000,36920000000,0.50,0.05,304.8,1366417754
Indonesia,1.11919E+12,15840,0.05,0.1754,18495000000,20494000000,0.30,0.05,154.623,270203917
Iran,4.45345E+11,19940,0.03,0.12291,14019000000,12462000000,0.45,0.11,230,82913906
Iraq,2.34094E+11,11740,-0.027,0.35029,10719000000,23002000000,0.31,0.13,293,39309783
Republic of Ireland,3.88699E+11,137640,0.02,0.22111,12609434780,14735561740,0.26,0.05,13.41,5007069
Israel,3.95099E+11,54770,0.031,0.36878,6577000000,4778000000,0.25,0.04,1564.82,9053300
Italy,2.00124E+12,54260,0.007,0.56825,45438608000,51367235000,0.59,0.10,0,60297396
Jamaica,16458071068,12990,0.02,0.29083,1918679000,527385000,0.35,0.08,84.2,2948279
Japan,5.08177E+12,52120,0.02,0.44012,59425569000,47891823000,0.47,0.02,3722.4,126226568
Jordan,43743661972,12810,0.026,0.33064,1843933587,1011619269,0.29,0.15,366,10101694
Kazakhstan,1.80162E+11,32710,0.046,0.21693,6513000000,7175000000,0.28,0.05,26.6,18513930
Kenya,95503088538,6580,0.05,0.23489,1689875152,647966388,0.37,0.03,116.95,52573973
russia,1.86E+12,35310,0.0225,0.36559,27858000000,4.251E+11,0.13,0.03,182,144444359
Kuwait,1.34761E+11,51760,-0.006,0.40675,9119558441,20925926583,0.13,0.02,194.86,4207083
Kyrgyzstan,8454619608,6440,0.034,0.39875,1166000000,495000000,0.29,0.06,27.6,6456900
Laos,18173839128,9790,0.04,0.1653,1837000000,2038000000,0.24,0.01,82,7169455
Latvia,34117202555,40890,0.005,0.39246,1714624000,1757483700,0.38,0.07,697.44,1912789
Lebanon,53367042272,3230,0.002,0.16028,1447000000,230000000,0.32,0.06,150.755,6855713
Lesotho,2460072444,1001,0.021,0.47835,395695524,191092512,0.14,0.23,696.55,2125268
Liberia,3070518100,1790,0.046,0.29877,197000000,68000000,0.46,0.03,165,4937374
Libya,52076250948,24380,0.125,0.60361,3543328150,6799611600,0.33,0.19,204.59,6777452
Liechtenstein,6552858739,197504,-0.002,0.226,427455210,3412891062,0.22,0.07,0,38019
Lithuania,54219315600,49240,,0.36591,3628822400,3341150300,0.43,0.06,928,2786844
